Party,translation,Country 
Barcelona en Comú ,,Spain/Catalonia
Podemos (Spain),,Spain
Syriza (Greece),,Greece
Die Linke (Germany),,Germany
SPD (Germany),,Germany
SPO (Austria),,Austria 
Enhedslisten – De Rød-Grønne (Denmark),The Red Green alliance ,Denmark
The Working Families Party (USA),,U.S.
Democratic Socialists of America (USA),,U.S. 
Chama cha Wazalendo (Tanzania),The Alliance for change and transparency ,Tanzania 
La France Insoumise (France),,France
Partido dos Trabalhadores (Brazil),Brazillian Workers’ Party,Brasil 
Razem (Poland),,Poland
