Name,Confirmed,Bio,Organisation ,Session,Link to twitter,Other relevant info,Photo?
Jeremy Corbyn MP,Yes,Leader of the UK Labour Party and MP for Islington North ,Labour Party,,https://twitter.com/jeremycorbyn,,
Jean-Luc Mélenchon,Yes,Leader of left French party La France Insoumise ,La France Insoumise,,https://twitter.com/JLMelenchon,Ran for the French Presidency in 2017 and won more than seven million votes,
Katja Kipping,Yes,Chairperson of left German party Die Linke and a member of German Parliament,Die Linke ,,https://twitter.com/katjakipping,,
Ralf Stegner,Yes,German politician of the centre-left Social Democratic Party (SPD),SPD,,https://twitter.com/Ralf_Stegner,,
Nelini Stamp,Yes,National Organizing Director at the Working Families Party and member of Resistance Revival Chorus ,Working Families Party,,https://twitter.com/NelStamp,,
Naomi Klein ,Yes,"Canadian author, social activist, and filmmaker ",,,https://twitter.com/NaomiAKlein,Known for her political analyses and criticism of corporate globalization and of capitalism.,
Dimitris Tzanakopoulos,Yes,Minister of State for Greece and Syriza Spokesman ,Syriza,,,,
John McDonnell MP,Yes,Shadow Chancellor of the Exchequer and Labour MP for Hayes and Harlington,Labour Party,,https://twitter.com/johnmcdonnellMP,,
Diane Abbott MP,Yes,Shadow Home Secretary and Labour MP for Hackney North and Stoke Newington ,Labour Party,,https://twitter.com/HackneyAbbott,,
Dan Carden MP,Yes,Labour MP for Liverpool Walton,Labour Party,,https://twitter.com/DanCardenMP,,
Chantal Mouffe,Yes,"Belgian political theorist and Professor of Political Theory at the Centre for the Study of Democracy, University of Westminster.",,,,,
Leo Panitch,Yes,"Editor of the Socialist Register and distinguished research professor at York University, Canada.",,,,"Co-author, with Sam Gindin, of The Making of Global Capitalism: The Political Economy of American Empire (Verso)",
Paul Mason,Yes,"
writer, author and film-maker. As economics editor at Newsnight, then Channel 4  News he covered the global financial crisis, the Arab Spring, the Occupy movement and the Gaza war. His bestselling book Postcapitalism has been translated into 16 languages. His  play Why It’s Kicking Off Everywhere was televised on BBC Two in 2017. 
",,,https://twitter.com/paulmasonnews,"He was formerly Culture and Digital Editor of Channel 4 News, becoming the programme's Economics Editor on 1 June 2014,",
Owen Jones,Yes,"Guardian columnist, left-wing political activist and author of Chavs: The Demonisation of the Working Class and The Establishment – And How They Get Away With It",,,https://twitter.com/OwenJones84,,
Faiza Shaheen,Yes,"Dr Faiza Shaheen is an economist, activist, and Director of the Centre for Labour and Social Studies (CLASS) - and now the Labour Party Parliamentary candidate set to unseat Ian Duncan-Smith. In 2017, Faiza was named the Observer Rising Star for Campaigning, nominated as Asian Woman of the Year and featured in the Top 100 Influencers on the Left list.",CLASS,,https://twitter.com/faizashaheen,"She specialises in economic and spatial inequalities, employment, regeneration and child poverty",
Dave Ward,Yes,General Secretary of the Communication Workers Union,CWU,,https://twitter.com/DaveWardGS,,
Ash Sarkar,Yes,"Senior editor at Novara Media, and lecturer in Global Politics at Anglia Ruskin University and The Sandberg Instituut",Novara Media,,https://twitter.com/AyoCaesar,,
Dawn Butler MP,Yes,Shadow Secretary of State for Women & Equalities and Labour MP for Brent Central,Labour Party ,,https://twitter.com/DawnButlerBrent,,
George Monbiot,No,"George Monbiot is a Guardian columnist and the author of Feral, The Age of Consent and Out of the Wreckage: a New Politics for an Age of Crisis",,,https://twitter.com/GeorgeMonbiot,,
Ann Pettifor,Yes,"Ann Pettifor is a political economist, author, fellow of the New Economics Foundation, and director of PRIME – Policy Research in Macroeconomics. Since 2015, Ann is a senior economic advisor to the Labour Party. She is famous for her work on debt and the international financial architecture, leading an international campaign which resulted in the cancellation of $100 billion of debt owed by the poorest countries.",PRIME - Policy Research in Macroeconomics,,https://twitter.com/AnnPettifor,,
Lowkey,Yes,"British rapper, hip-hop artist and activist",,,https://twitter.com/Lowkey0nline,,
Dennis Skinner MP ,Yes,Labour MP for Bolsover,Labour Party,,,,
Tithi Bhattacharya,Yes,"Marxist feminist Professor of South Asian history and Director of Global Studies at Purdue university, Indiana",,,,,
Vijay Prashad ,Yes,Indian historian and marxist who is Director of the Tricontential Institute and Editor of LeftWord Books,,,https://twitter.com/vijayprashad,,
Fabio De Masi,Yes,German politician for left German party Die Linke and Member of the European Parliament for Germany,Die Linke ,,https://twitter.com/FabioDeMasi,,
Hilary Wainwright,Yes,"Sociologist, political activist & author, fellow of the Transnational Institute and editor of Red Pepper magazine",Red Pepper,,https://twitter.com/hilarypepper,,
Clive Lewis MP,Yes,Labour MP for Norwich South,Labour Party,,https://twitter.com/labourlewis,,
Danielle Rowley MP ,Yes,Labour MP for Midlothian,Labour Party,,https://twitter.com/DaniRowley,,
Zitto Kabwe,Yes,Tanzanian politician and leader of left-wing party Alliance for Change and Transparency,Alliance for Change and Transparency,,https://twitter.com/zittokabwe,,
Marsha de Cordova MP,Yes,Labour MP for Battersea,Labour Party,,https://twitter.com/MarshadeCordova,,
Ed Miliband MP,Yes,"Labour MP for Doncaster North and former leader of the Labour Party, radio dj sensation.",Labour Party,,https://twitter.com/Ed_Miliband,,
Pablo Bustinduy,Yes,Spanish politician of left-wing party Podemos ,Podemos ,,https://twitter.com/pbustinduy,,
Pernille Skipper,Yes,Danish MP and Leader of Red-Green Alliance,Red-Green Alliance,,https://twitter.com/PSkipperEL,,
Raul Espejo,Yes,"Operations Director of Project Cybersyn, academic and leading expert on organisational cybernetics ",,,,,
Keir Starmer MP,No,Labour MP for Holborn and St Pancras and Shadow Secretary of State for Exiting the European Union,Labour Party,,https://twitter.com/Keir_Starmer,,
Imran Hussain MP,No,Labour MP for Bradford East and Shadow Justice Minister,Labour Party,,https://twitter.com/Imran_HussainMP,,
Chris Williamson MP,Yes,Labour MP for Derby North,Labour Party,,https://twitter.com/DerbyChrisW,,
Gail Ward ,Yes,Activist with Disabled People Against the Cuts (DPAC),DPAC,,https://twitter.com/DPAC,,
Joe Guinan ,Yes,Senior Fellow at Democracy Collaborative and Executive Director of the Next System Project,Democracy Collaborative,,https://twitter.com/joecguinan,,
Matthew Brown ,Yes,Labour politician and leader of Preston City Council,Labour Party,,https://twitter.com/MatthewBrownLab,,
Emma Dent Coad MP ,Yes,Labour MP for Kensington,Labour Party,,https://twitter.com/emmadentcoad,,
Jennifer Forbes ,Yes,Labour Party Paliamentary candidate for Truro & Falmouth,,,,,
Ann Henderson ,Yes,Labour NEC candidate and University of Edinburgh rector,,,https://twitter.com/AnnHend88977240,,
Leah Levane,Yes,Jewish Voice for Labour co-chair and Hastings councillor,Jewish Voice for Labour,,,,
Kelsey Mohamed ,Yes,Prison abolition activist with Community Action on Prison Expansion,Community Action on Prison Expansion,,,,CANNOT FIND PICTURE
Sheila Coleman ,Yes,Activist with the Hillsborough Justice Campaign,Hillsborough Justice Campaign,,https://twitter.com/SheilaColeman96,,
Jacqui Haynes ,Yes,Grenfell activist ,,,,,
Royston Bentham,Yes,Management Committee member of Spirit of Shankley and Football Supporters Federation National Council member,Spirit of Shankley,,https://twitter.com/roybentham1,,
Professor Özlem Onaran ,Yes,Author and Professor of Economics at the University of Greenwich and the director of the Greenwich Political Economy Research Centre,University of Greenwich,,,,
Fabian Hamilton MP ,Yes,Labour MP for Leeds North East and Shadow Minister for Peace and Disarmament,,,,,
Sam Mason,Yes,"Policy Officer at Public and Commerical Services trade union (PCS), main author of the PCS pamphlet Just Transition and Energy Democracy: a civil service trade union perspective & member of the New Lucas Plan project coordinating the Just Transition strand",PCS,,,,CANNOT FIND PICTURE
Paul Nowak ,Yes,Deputy General Secretary of the Trades Union Congress (TUC),TUC,,https://twitter.com/nowak_paul,,
Ann Feltham ,Yes,Parliamentary Co-ordinator of Campaign Against Arms Trade (CAAT),CAAT,,,,
Kate Hudson,Yes,General Secretary of the Campaign for Nuclear Disarmament (CND) and leading anti-nuclear and anti-war campaigner,CND,,https://twitter.com/CNDuk,,
Jeremy Gilbert ,Yes,Professor of Cultural and Political Theory ,,,https://twitter.com/jemgilbert,,
Melissa Benn ,Yes,"Writer & campaigner, founder of the Local Schools Network, and chair of Comprehensive Future. Her books include School Wars: The Battle for Britain's Education",,,https://twitter.com/Melissa_Benn,,
Holly Rigby ,Yes,"Education activist, teacher and National Education Union rep",,,https://twitter.com/hollyarigby?lang=en,,
Anne-Marie Cockburn,Yes,Author and campaigner for drug legalisation ,,,https://twitter.com/5742days,,
Cecile Wright ,Yes,Vice-chair of Momentum ,Momentum,,https://twitter.com/cecilewrightsd,,
Claudia Webbe ,Yes,Member of the Labour Party National Executive Committee and councillor in Islington,Labour Party,,https://twitter.com/ClaudiaWebbe,,
Emine Ibrahim,Yes,Deputy leader of Haringey Council ,Labour Party,,,,
Zita Holbourne,Yes,"Activist, author & artist and PCS national vice-president",PCS,,,,
Dr Sonya Robotham ,Yes,Director of Operations at Spectrum Derbyshire,Spectrum Derbyshire,,https://twitter.com/SpectrumDerby,,
Carina Book,Yes,"German anti-fascist organiser from Hamburg who has been involved in the mobilisations against big fascist demonstrations in the last years, such as the ""Day of Patriots"" in 2015 which ended with a ban of the right-wing march and up to 15000 anti-fascists at the counter-demonstration",,,,,CAN'T FIND PHOTO
Michael Roberts ,Yes,Economist and author of The Great Recession: a Marxist view and The Long Depression,,,,,CAN'T FIND PHOTO
Matt Wrack ,Yes,General Secretary of the Fire Brigades Union (FBU) ,FBU,,https://twitter.com/MattWrack,,
Maya Goodfellow ,Yes,Journalist and academic,,,https://twitter.com/MayaGoodfellow,,
Rita Chandha ,Yes,Organiser with Migrants' Rights Network ,Migrants' Rights Network,,https://twitter.com/migrants_rights,,CAN'T FIND PHOTO
Grzegorz Rybak ,Yes,Polish politician with left-wing party Razem,Razem,,,,CAN'T FIND PHOTO
Afzal Khan MP ,No,Labour MP for Manchester Gorton and Shadow Immigration Minister ,Labour Party,,https://twitter.com/Afzal4Gorton,,
Steve Hudson ,Yes,Organiser with Labour International ,Labour Party,,https://twitter.com/LabourInt,,CAN'T FIND PHOTO
Clara Paillard,Yes,President of PCS Culture Group,PCS,,https://twitter.com/clarapa,,
Stephen Pritchard ,Yes,"Arts historian, writer, activist and artist",Movement for Cultural Democracy,,https://twitter.com/etiennelefleur,,
Nick Mahony,Yes,Organiser with Movement for Cultural Democracy ,Movement for Cultural Democracy,,,,CAN'T FIND PHOTO
Rhiannon White ,Yes,Co-director of Common Wealth ,Common Wealth,,,,
Kevin Courtney ,Yes,Joint General Secretary for the National Education Union (NEU) ,NEU,,https://twitter.com/cyclingkev,,
Dave Randall,Yes,"Writer, activist, musician and guitarist of Faithless, author of 'Sound System: The Political Power of Music'",,,https://twitter.com/davidrrandall,,
Dr Paul Darke ,Yes,"Academic, writer & cultural critic, Director of Outside Centre, and originator of Normality Theory",,,,,
Miro Griffiths,Yes,"Activist and academic on human rights, advisor to UK Government and European Commission",,,https://twitter.com/MiroGriffiths,,
Julie Ward MEP ,Yes,"Labour MEP for the North-West of England, member of the European Parliament’s Culture and Education 
Committee and link MEP for UNCRPD",Labour Party,,https://twitter.com/julie4nw,,
Simon McKeown,Yes,Award-winning and internationally exhibiting artist with a focus on disability arts,,,,,
Dr Janet Price,Yes,"Feminist disabled campaigner working on issues of sexuality, disability and social justice, Honorary Fellow at Liverpool School of Tropical Medicine",,,,,CAN'T FIND PHOTO
Sadiq Khan,No,Labour politican and Mayor of London,Labour Party,,https://twitter.com/SadiqKhan,,
Jonathan Ashworth MP,Yes,Labour MP for Leicester South and Shadow Secretary of State for Health and Social Care,Labour Party,,https://twitter.com/JonAshworth,,
Thomas Hanna,Yes,Research Director at Democracy Collaborative ,Democracy Collaborative,,https://twitter.com/thomasmhanna,,
Andrew Towers,Yes,Head of Political Strategy at CWU,CWU,,https://twitter.com/_andrewtowers,,
Cat Hobbs,Yes,Founder and Director of We Own It,We Own It,,https://twitter.com/CatHobbs,,
